1942,320
1943,301
1944,324
1945,308
1946,840
1947,1083
1948,1302
1949,1099
1950,1118
1951,817
1952,972
1953,701
1954,624
1955,836
1956,970
1957,1226
1958,1080
1959,1481
1960,1344
1961,1681
1962,1267
1963,1016
1964,1131
1965,1468
1966,1334
1967,1390
1968,1676
1969,1475
1970,1433
1971,2373
1972,2028
1973,1994
1974,1191
1975,1627
1976,1652
1977,1259
1978,1776
1979,1300
1980,907
1981,1175
1982,862
1983,676
1984,2010
1985,817
1986,1109
1987,1147
1988,1554
1989,702
1990,1148
1991,1544
1992,1134
1993,1134
1994,1452
1995,1134
1996,1843
1997,1162
1998,1191
1999,478
2000,1148
2001,801
2002,1112
2003,703
2004,459
2005,1075
2006,905
2007,760
2008,588
2009,760
2010,943
2011,524
2012,475
2013,265
2014,691
2015,186
2016,258
2017,59
