1960,5.3
1961,5.6
1962,5.9
1963,6.3
1964,6.9
1965,7.7
1966,8.4
1967,9
1968,9.7
1969,10
1970,10.7
1971,11.3
1972,12.4
1973,13
1974,13.2
1975,14.3
1976,14.8
1977,15.5
1978,16.3
1979,17.1
1980,18.4
1981,18.9
1982,19.4
1983,20.3
1984,21
1985,22
1986,23.4
1987,24.5
1988,25.7
1989,27.1
1990,28
1991,29.5
1992,30.1
1993,31
1994,32.6
1995,32.2
1996,32.4
1997,32.4
1998,32.8
1999,33
2000,33.2
2001,33.5
2002,34
2003,34.6
2004,35.8
2005,36.9
2006,38.5
2007,39.7
2008,40.6
2009,41
2010,40.8
2011,40.7
2012,40.7
2013,40.6
2014,40.2
