1945,2
1946,9
1947,13
1948,50
1949,170
1950,299
1951,438
1952,841
1953,1169
1954,1703
1955,2422
1956,3692
1957,5543
1958,7345
1959,12298
1960,18638
1961,22229
1962,25540
1963,28133
1964,29463
1965,31139
1966,31175
1967,31255
1968,29561
1969,27552
1970,26008
1971,25830
1972,26516
1973,27835
1974,28537
1975,27519
1976,25914
1977,25542
1978,24418
1979,24138
1980,24104
1981,23208
1982,22886
1983,23305
1984,23459
1985,23368
1986,23317
1987,23575
1988,23205
1989,22217
1990,21392
1991,19008
1992,13708
1993,11511
1994,10979
1995,10904
1996,11011
1997,10903
1998,10732
1999,10685
2000,10577
2001,10526
2002,10457
2003,10027
2004,8570
2005,8360
2006,7853
2007,5709
2008,5273
2009,5113
2010,5066
2011,4897
2012,4881
2013,4804
2014,4717
2015,4571
2016,4018
2017,3822
2018,3785
2019,3805
2020,3750
2021,3708
2022,3708
