1900,36
1901,54
1902,79
1903,117
1904,172
1905,252
1906,338
1907,581
1908,751
1909,1174
1910,1599
1911,2043
1912,2968
1913,4079
1914,4468
1915,6779
1916,7766
1917,9630
1918,10390
1919,10896
1920,12155
1921,13253
1922,14859
1923,17870
1924,18400
1925,20771
1926,22194
1927,24470
1928,26557
1929,29592
1930,31204
1931,31963
1932,27979
1933,29746
1934,34240
1935,34494
1936,36126
1937,37819
1938,31083
1939,30895
1940,32914
1941,38142
1942,27007
1943,22727
1944,23165
1945,26785
1946,31874
1947,31193
1948,30775
1949,30246
1950,33186
1951,35309
1952,36088
1953,36190
1954,33890
1955,36688
1956,37965
1957,36932
1958,35331
1959,36223
1960,36399
1961,36285
1962,38980
1963,41723
1964,45645
1965,47089
1966,50894
1967,51559
1968,53763
1969,55043
1970,53816
1971,53907
1972,55600
1973,55096
1974,46049
1975,45500
1976,45523
1977,47878
1978,50331
1979,51093
1980,51091
1981,49301
1982,43945
1983,42589
1984,44257
1985,43825
1986,46087
1987,46390
1988,47087
1989,45582
1990,44599
1991,41508
1992,39250
1993,40150
1994,40716
1995,41817
1996,42063
1997,42013
1998,41501
1999,41717
2000,41945
2001,42196
2002,43005
2003,42884
2004,42836
2005,43510
2006,42708
2007,41259
2008,37423
2009,33883
2010,32999
2011,32479
2012,33782
2013,32893
2014,32744
2015,35485
2016,37461
